topology,model,trust_mse,trust_rmse,trust_mae,detection_accuracy,detection_precision,detection_recall,detection_f1,detection_auc,protection_rate,attacks_detected,attacks_total
Pakistan_Tuple30K,GAT,0.05655146,0.23780552,0.22090481,1.0,1.0,1.0,1.0,1.0,1.0,30,100
Pakistan_Tuple30K,GraphSAGE,0.046866138,0.21648589,0.20044011,1.0,1.0,1.0,1.0,1.0,1.0,30,100
Pakistan_Tuple30K,GCN,0.040801343,0.20199342,0.1860479,1.0,1.0,1.0,1.0,1.0,1.0,30,100
Pakistan_Tuple30K,Transformer,0.044745907,0.21153228,0.19620685,1.0,1.0,1.0,1.0,1.0,1.0,30,100
Pakistan_Tuple50K,GAT,0.038451847,0.19609143,0.1815057,1.0,1.0,1.0,1.0,1.0,1.0,30,100
Pakistan_Tuple50K,GraphSAGE,0.03150158,0.17748685,0.1630804,1.0,1.0,1.0,1.0,1.0,1.0,30,100
Pakistan_Tuple50K,GCN,0.029685294,0.17229421,0.15965664,0.9878787878787879,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333,28,100
Pakistan_Tuple50K,Transformer,0.037299022,0.19312955,0.17606537,1.0,1.0,1.0,1.0,1.0,1.0,30,100
Pakistan_Tuple100K,GAT,0.03555235,0.1885533,0.17962494,1.0,1.0,1.0,1.0,1.0,1.0,45,150
Pakistan_Tuple100K,GraphSAGE,0.024953239,0.15796594,0.14867343,1.0,1.0,1.0,1.0,1.0,1.0,45,150
Pakistan_Tuple100K,GCN,0.030492092,0.17461985,0.1608137,0.9911111111111112,1.0,0.9555555555555556,0.9772727272727273,0.9990123456790124,0.9555555555555556,43,150
Pakistan_Tuple100K,Transformer,0.027520068,0.16589174,0.1540173,1.0,1.0,1.0,1.0,1.0,1.0,45,150
Topo4MEC_25N50E,GAT,0.05279143,0.22976387,0.21879663,0.76,0.0,0.0,0.0,0.5023391812865498,0.0,0,300
Topo4MEC_25N50E,GraphSAGE,0.031096436,0.17634182,0.16234224,1.0,1.0,1.0,1.0,1.0,1.0,90,300
Topo4MEC_25N50E,GCN,0.03578721,0.18917508,0.17740051,0.984,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333,84,300
Topo4MEC_25N50E,Transformer,0.03746235,0.19355193,0.17433769,1.0,1.0,1.0,1.0,1.0,1.0,90,300
Topo4MEC_50N50E,GAT,0.06459769,0.25416076,0.24013866,0.7586666666666667,0.4954128440366973,0.3,0.3737024221453287,0.7622807017543859,0.3,109,600
Topo4MEC_50N50E,GraphSAGE,0.008647658,0.09299278,0.077426486,1.0,1.0,1.0,1.0,1.0,1.0,180,600
Topo4MEC_50N50E,GCN,0.036780406,0.19178218,0.17371847,0.8413333333333334,1.0,0.3388888888888889,0.5062240663900415,0.9803313840155945,0.3388888888888889,61,600
Topo4MEC_50N50E,Transformer,0.042822827,0.20693678,0.18759362,1.0,1.0,1.0,1.0,1.0,1.0,180,600
Topo4MEC_100N150E,GAT,0.052624937,0.22940126,0.20885184,0.7686666666666667,0.551094890510949,0.4026666666666667,0.46533127889060094,0.8086708148148148,0.4026666666666667,274,1250
Topo4MEC_100N150E,GraphSAGE,0.008823387,0.09393289,0.07958881,1.0,1.0,1.0,1.0,1.0,1.0,375,1250
Topo4MEC_100N150E,GCN,0.039776605,0.19944073,0.18318567,0.8313333333333334,0.9919354838709677,0.328,0.49298597194388777,0.9652480000000001,0.328,124,1250
Topo4MEC_100N150E,Transformer,0.0394304,0.19857089,0.17762396,1.0,1.0,1.0,1.0,1.0,1.0,375,1250
