scenario,model,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_trust,std_trust
Static Threshold,GAT,1.0,1.0,1.0,1.0,0.7581432699261591,0.1394768593555423
Static Threshold,GraphSAGE,1.0,1.0,1.0,1.0,0.7600274804960748,0.14106073695659457
Static Threshold,GCN,1.0,1.0,1.0,1.0,0.7618143155226352,0.1426334665448731
Static Threshold,Transformer,1.0,1.0,1.0,1.0,0.7467035025027063,0.13494118338220706
Adaptive Threshold,GAT,1.0,1.0,1.0,1.0,0.7581432699261591,0.1394768593555423
Adaptive Threshold,GraphSAGE,1.0,1.0,1.0,1.0,0.7600274804960748,0.14106073695659457
Adaptive Threshold,GCN,1.0,1.0,1.0,1.0,0.7618143155226352,0.1426334665448731
Adaptive Threshold,Transformer,1.0,1.0,1.0,1.0,0.7467035025027063,0.13494118338220706
Statistical Z-Score,GAT,1.0,1.0,1.0,1.0,0.7581432699261591,0.1394768593555423
Statistical Z-Score,GraphSAGE,1.0,1.0,1.0,1.0,0.7600274804960748,0.14106073695659457
Statistical Z-Score,GCN,1.0,1.0,1.0,1.0,0.7618143155226352,0.1426334665448731
Statistical Z-Score,Transformer,1.0,1.0,1.0,1.0,0.7467035025027063,0.13494118338220706
IQR Outlier Detection,GAT,0.9866666666666667,0.8333333333333331,1.0,0.8833333333333333,0.7581432699261591,0.1394768593555423
IQR Outlier Detection,GraphSAGE,1.0,1.0,1.0,1.0,0.7600274804960748,0.14106073695659457
IQR Outlier Detection,GCN,1.0,1.0,1.0,1.0,0.7618143155226352,0.1426334665448731
IQR Outlier Detection,Transformer,0.9933333333333333,0.9166666666666666,1.0,0.9444444444444445,0.7467035025027063,0.13494118338220706
Bottom 20% Percentile,GAT,0.8196717171717172,0.28888888888888886,1.0,0.43109668109668114,0.7581432699261591,0.1394768593555423
Bottom 20% Percentile,GraphSAGE,0.8499747474747475,0.31111111111111106,1.0,0.4588744588744589,0.7600274804960748,0.14106073695659457
Bottom 20% Percentile,GCN,0.8499747474747475,0.31111111111111106,1.0,0.4588744588744589,0.7618143155226352,0.1426334665448731
Bottom 20% Percentile,Transformer,0.8499747474747475,0.31111111111111106,1.0,0.4588744588744589,0.7467035025027063,0.13494118338220706
