threshold,alpha,beta,success_rate,avg_latency,avg_energy_consumption,true_positive,true_negative,false_positive,false_negative,f1
0.1,0.1,0.1,0.9575,24.198968454479267,1288909.0236134776,6579,5,17005,36,0.43570979171495744
0.1,0.1,0.2,0.9625,24.568758506044144,1290717.207245477,6586,9,16929,1,0.43757889841206565
0.1,0.1,0.30000000000000004,0.96,24.45169016814908,1294737.240029477,6600,202,16772,1,0.44039635672104893
0.1,0.1,0.4,0.95875,24.45970536874491,1288827.2834934774,6607,3826,13166,1,0.5008907926158978
0.1,0.1,0.5,0.95875,24.45970536874491,1288827.2834934774,6607,0,16992,1,0.43744827357897176
0.1,0.1,0.6,0.95875,24.45970536874491,1288827.2834934774,6607,0,16992,1,0.43744827357897176
0.1,0.1,0.7000000000000001,0.95875,24.45970536874491,1288827.2834934774,6607,0,16992,1,0.43744827357897176
0.1,0.1,0.8,0.95875,24.48930119664582,1288860.5634934772,6607,0,16992,1,0.43744827357897176
0.1,0.1,0.9,0.95875,24.48930119664582,1288860.5634934772,6607,0,16992,1,0.43744827357897176
0.1,0.1,1.0,0.95875,24.50289147091155,1286634.694565477,6607,0,16992,1,0.43744827357897176
0.1,0.2,0.1,0.96,24.45169016814908,1294737.240029477,6564,1,16973,37,0.43559625721680273
0.1,0.2,0.2,0.9575,24.198968454479267,1288909.0236134776,6579,5,17005,36,0.43570979171495744
0.1,0.2,0.30000000000000004,0.95125,24.01304856352078,1288860.5265654773,4526,4,17096,2124,0.3201754385964912
0.1,0.2,0.4,0.9625,24.568758506044144,1290717.207245477,6586,9,16929,1,0.43757889841206565
0.1,0.2,0.5,0.96,24.45169016814908,1294737.240029477,6600,15,16959,1,0.4376657824933687
0.1,0.2,0.6,0.96,24.45169016814908,1294737.240029477,6600,202,16772,1,0.44039635672104893
0.1,0.2,0.7000000000000001,0.96125,24.4669595014697,1294372.496381477,6593,6203,10753,1,0.5507936507936508
0.1,0.2,0.8,0.95875,24.45970536874491,1288827.2834934774,6607,3826,13166,1,0.5008907926158978
0.1,0.2,0.9,0.95875,24.45970536874491,1288827.2834934774,6607,295,16697,1,0.4417625033431399
0.1,0.2,1.0,0.95875,24.45970536874491,1288827.2834934774,6607,0,16992,1,0.43744827357897176
0.1,0.30000000000000004,0.1,0.95625,24.2500806288789,1286394.760605477,6531,2,17026,91,0.4328175221180291
0.1,0.30000000000000004,0.2,0.9575,24.220818573868907,1286679.6683974771,6571,1,17009,44,0.43523762212286804
0.1,0.30000000000000004,0.30000000000000004,0.9575,24.198968454479267,1288909.0236134776,6579,5,17005,36,0.43570979171495744
0.1,0.30000000000000004,0.4,0.96,24.45169016814908,1294737.240029477,6588,1,16973,13,0.4368410582852596
0.1,0.30000000000000004,0.5,0.95375,24.095852158216903,1278686.652753478,3270,9,17055,3366,0.24257260487370647
0.1,0.30000000000000004,0.6,0.9625,24.568758506044144,1290717.207245477,6586,9,16929,1,0.43757889841206565
0.1,0.30000000000000004,0.7000000000000001,0.96,24.45169016814908,1294737.240029477,6600,16,16958,1,0.4376802944394708
0.1,0.30000000000000004,0.8,0.96,24.45169016814908,1294737.240029477,6600,37,16937,1,0.43798526776826596
0.1,0.30000000000000004,0.9,0.96,24.45169016814908,1294737.240029477,6600,202,16772,1,0.44039635672104893
0.1,0.30000000000000004,1.0,0.96125,24.4669595014697,1294372.496381477,6593,4343,12613,1,0.5110852713178294
0.1,0.4,0.1,0.96,24.45169016814908,1294737.240029477,6545,3,16971,56,0.4346382441810273
0.1,0.4,0.2,0.96,24.45169016814908,1294737.240029477,6564,1,16973,37,0.43559625721680273
0.1,0.4,0.30000000000000004,0.95375,24.095852158216903,1278686.652753478,6528,1,17063,108,0.431931716677143
0.1,0.4,0.4,0.9575,24.198968454479267,1288909.0236134776,6579,5,17005,36,0.43570979171495744
0.1,0.4,0.5,0.9625,24.515282677731296,1292584.3764774771,6572,1,16937,15,0.436735778841042
0.1,0.4,0.6,0.95125,24.01304856352078,1288860.5265654773,4526,4,17096,2124,0.3201754385964912
0.1,0.4,0.7000000000000001,0.95125,24.01304856352078,1288860.5265654773,5731,7,17093,919,0.38888511908800977
0.1,0.4,0.8,0.9625,24.568758506044144,1290717.207245477,6586,9,16929,1,0.43757889841206565
0.1,0.4,0.9,0.96,24.45169016814908,1294737.240029477,6600,11,16963,1,0.4376077443309906
0.1,0.4,1.0,0.96,24.45169016814908,1294737.240029477,6600,15,16959,1,0.4376657824933687
0.1,0.5,0.1,0.96,24.45169016814908,1294737.240029477,6549,3,16971,52,0.4348461206467249
0.1,0.5,0.2,0.96,24.45169016814908,1294737.240029477,6523,2,16972,78,0.4334795321637427
0.1,0.5,0.30000000000000004,0.95375,24.095852158216903,1278686.652753478,6599,1,17063,37,0.4356063106475675
0.1,0.5,0.4,0.95375,24.095852158216903,1278686.652753478,6506,2,17062,130,0.43080386703747847
0.1,0.5,0.5,0.9575,24.198968454479267,1288909.0236134776,6579,5,17005,36,0.43570979171495744
0.1,0.5,0.6,0.96,24.45169016814908,1294737.240029477,6581,1,16973,20,0.43647819598739845
0.1,0.5,0.7000000000000001,0.96,24.45169016814908,1294737.240029477,6585,3,16971,16,0.43671452730709287
0.1,0.5,0.8,0.95,24.172190202942524,1285998.393085478,3490,9,17109,3167,0.25609040211329615
0.1,0.5,0.9,0.95875,24.43053612939698,1288303.7958134771,6088,6,16986,520,0.410214945084563
0.1,0.5,1.0,0.9625,24.568758506044144,1290717.207245477,6586,9,16929,1,0.43757889841206565
0.1,0.6,0.1,0.96,24.45169016814908,1294737.240029477,6549,3,16971,52,0.4348461206467249
0.1,0.6,0.2,0.95625,24.2500806288789,1286394.760605477,6531,2,17026,91,0.4328175221180291
0.1,0.6,0.30000000000000004,0.96,24.45169016814908,1294737.240029477,6564,1,16973,37,0.43559625721680273
0.1,0.6,0.4,0.9575,24.220818573868907,1286679.6683974771,6571,1,17009,44,0.43523762212286804
0.1,0.6,0.5,0.95375,24.095852158216903,1278686.652753478,6520,2,17062,116,0.4315308756370375
