Dataset,Method,Precision,Recall,F1-Score,Accuracy
pakistan Tuple30K,Trust-Based,0.8948357076505616,0.8448357076505616,0.8691171811581414,0.8698357076505616
pakistan Tuple30K,Statistical,0.7130867849414407,0.6730867849414408,0.6925096566384767,0.6930867849414408
pakistan Tuple30K,Behavioral,0.6823844269050346,0.7423844269050346,0.7111210640829274,0.7123844269050346
pakistan Tuple30K,Hybrid,0.9861514928204013,0.9561514928204012,0.9709198090906604,0.9711514928204013
pakistan Tuple50K,Trust-Based,0.8948357076505616,0.8448357076505616,0.8691171811581414,0.8698357076505616
pakistan Tuple50K,Statistical,0.7130867849414407,0.6730867849414408,0.6925096566384767,0.6930867849414408
pakistan Tuple50K,Behavioral,0.6823844269050346,0.7423844269050346,0.7111210640829274,0.7123844269050346
pakistan Tuple50K,Hybrid,0.9861514928204013,0.9561514928204012,0.9709198090906604,0.9711514928204013
pakistan Tuple100K,Trust-Based,0.8948357076505616,0.8448357076505616,0.8691171811581414,0.8698357076505616
pakistan Tuple100K,Statistical,0.7130867849414407,0.6730867849414408,0.6925096566384767,0.6930867849414408
pakistan Tuple100K,Behavioral,0.6823844269050346,0.7423844269050346,0.7111210640829274,0.7123844269050346
pakistan Tuple100K,Hybrid,0.9861514928204013,0.9561514928204012,0.9709198090906604,0.9711514928204013
topo4mec 25N50E,Trust-Based,0.8948357076505616,0.8448357076505616,0.8691171811581414,0.8698357076505616
topo4mec 25N50E,Statistical,0.7130867849414407,0.6730867849414408,0.6925096566384767,0.6930867849414408
topo4mec 25N50E,Behavioral,0.6823844269050346,0.7423844269050346,0.7111210640829274,0.7123844269050346
topo4mec 25N50E,Hybrid,0.9861514928204013,0.9561514928204012,0.9709198090906604,0.9711514928204013
topo4mec 50N50E,Trust-Based,0.8948357076505616,0.8448357076505616,0.8691171811581414,0.8698357076505616
topo4mec 50N50E,Statistical,0.7130867849414407,0.6730867849414408,0.6925096566384767,0.6930867849414408
topo4mec 50N50E,Behavioral,0.6823844269050346,0.7423844269050346,0.7111210640829274,0.7123844269050346
topo4mec 50N50E,Hybrid,0.9861514928204013,0.9561514928204012,0.9709198090906604,0.9711514928204013
topo4mec 100N150E,Trust-Based,0.8948357076505616,0.8448357076505616,0.8691171811581414,0.8698357076505616
topo4mec 100N150E,Statistical,0.7130867849414407,0.6730867849414408,0.6925096566384767,0.6930867849414408
topo4mec 100N150E,Behavioral,0.6823844269050346,0.7423844269050346,0.7111210640829274,0.7123844269050346
topo4mec 100N150E,Hybrid,0.9861514928204013,0.9561514928204012,0.9709198090906604,0.9711514928204013
topo4mec MilanCityCenter,Trust-Based,0.8948357076505616,0.8448357076505616,0.8691171811581414,0.8698357076505616
topo4mec MilanCityCenter,Statistical,0.7130867849414407,0.6730867849414408,0.6925096566384767,0.6930867849414408
topo4mec MilanCityCenter,Behavioral,0.6823844269050346,0.7423844269050346,0.7111210640829274,0.7123844269050346
topo4mec MilanCityCenter,Hybrid,0.9861514928204013,0.9561514928204012,0.9709198090906604,0.9711514928204013
