timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,220,900.0,37,8,1,0.7190420806358693,True,179.40014117050745,2.119565884134108,True,True
0.08,1,t1,270,200.0,41,8,6,0.7180657271579486,False,52.893356128799205,2.6432297819863226,False,False
0.2,2,t2,220,900.0,25,3,8,0.76013295123833,False,187.6403443635232,2.039200073166563,False,False
0.22,3,t3,220,150.0,24,9,4,0.7680029157748111,False,30.55440291518396,2.2513990230971896,False,False
0.48,4,t4,270,1000.0,41,5,8,0.7086075827228394,False,240.19275555277167,2.4362362296447966,False,False
0.52,5,t5,300,250.0,59,2,7,0.754253394240043,True,68.55647831392781,2.7642709689530047,True,True
0.56,6,t6,270,200.0,40,3,8,0.7541869588802301,False,48.27249871957346,2.73606957960917,False,False
0.6,7,t7,270,900.0,20,7,9,0.7250176504562271,False,232.18669968359183,2.673476602166672,False,False
0.68,8,t8,270,900.0,57,6,8,0.7779940652839269,False,222.75788278643492,2.8078049166684673,False,False
0.84,9,t9,120,75.0,92,10,6,0.7125324561860421,True,8.848783692837854,1.1014621357435705,True,False
0.95,10,t10,300,250.0,50,6,4,0.7506684789992816,False,82.34850314995673,3.1470960439391376,False,False
1.02,11,t11,120,75.0,31,5,1,0.7209771513804525,True,8.9682340978325,1.316476297718683,True,True
1.15,12,t12,300,250.0,40,7,9,0.7199254792652844,False,65.9641422718431,2.9030501872684034,False,False
1.2,13,t13,170,100.0,86,2,1,0.7829611101295691,True,18.5087363875283,1.7808411164328626,True,True
1.3,14,t14,170,100.0,79,0,7,0.7844621438151169,True,18.655759082992383,1.5441922484780184,True,True
1.32,15,t15,300,250.0,55,0,2,0.7640721766019106,False,86.57569406260764,2.7654415558920684,False,False
1.48,16,t16,80,50.0,96,8,1,0.7199637005616133,True,3.980398394330131,0.7799280658499088,True,True
1.71,17,t17,80,50.0,88,10,3,0.8195058193612133,True,4.064276895086184,0.8139046753080654,True,True
1.73,18,t18,170,100.0,47,10,9,0.732545747914496,True,17.955121073646428,1.6238554736147126,True,False
1.76,19,t19,220,150.0,57,10,6,0.7137124737289878,True,28.259020903729798,2.0843500082558917,True,False
1.8,20,t20,120,75.0,27,0,7,0.7840753624772763,True,8.719440735297633,1.2116392689145539,True,True
1.84,21,t21,120,75.0,96,7,2,0.7643186775399374,True,10.18959134795367,1.2642179803240958,True,False
2.0,22,t22,270,900.0,41,10,3,0.8184181645124506,True,242.76382628153837,2.773341227144617,True,True
2.17,23,t23,220,900.0,59,10,6,0.7148688909210749,False,192.71939087667425,2.082585101863045,False,False
2.28,24,t24,170,100.0,33,0,7,0.7836963167661921,True,16.363143043810084,1.6171264314391365,True,True
2.29,25,t25,220,150.0,21,10,9,0.7334770147743879,False,35.869206806467396,2.1754466294789805,False,False
2.64,26,t26,220,150.0,80,7,2,0.7644629706558054,True,33.217752183472946,2.0577421897332466,True,False
2.68,27,t27,170,700.0,24,3,5,0.8021113710524406,False,102.12656517276804,1.6413655336368644,False,False
2.72,28,t28,120,75.0,21,9,3,0.7447352032279174,True,9.492271909220136,1.1670485135876638,True,True
2.79,29,t29,300,1000.0,81,5,1,0.7219882750195101,True,315.6480124569913,3.250986386634884,True,True
