timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,27,865,67,14,7,0.4826721512345804,True,19.189783846823815,0.278678867699058,True,False
1.0,1,t1,23,568,73,16,17,0.5874279139296198,True,12.955451417522118,0.20815274876619236,True,False
1.0,2,t2,58,630,35,20,17,0.4838368839993884,False,40.65768919126329,0.6182629284838356,False,False
2.0,3,t3,35,270,86,27,23,0.4724642129819553,True,10.34142997754203,0.33929123834014596,True,True
3.0,4,t4,33,205,71,1,7,0.5080194441008151,True,5.998370948215264,0.35913126188471545,True,False
4.0,5,t5,82,224,45,23,3,0.5202460339911014,True,17.13551198486854,0.8246787987173281,True,True
4.0,6,t6,17,630,79,3,20,0.49748107368540867,True,10.36693202068942,0.16206622937075268,True,False
5.0,7,t7,59,801,73,1,4,0.562254608714824,True,45.88016936955486,0.535380270039313,True,True
6.0,11,t11,37,987,86,23,17,0.5200268587078395,True,43.58123259428878,0.38265151400630054,True,False
6.0,10,t10,83,660,28,4,14,0.4645163268070618,False,46.28902823902345,0.7677598028058282,False,False
6.0,9,t9,61,984,58,28,21,0.5061233656744613,False,58.78778152617376,0.6307884704390516,False,False
6.0,8,t8,40,348,54,21,3,0.5330118318147183,True,12.809133704260182,0.4285279091026487,True,True
7.0,12,t12,87,996,67,23,26,0.4924055608717015,True,78.56078555623475,0.87938664752581,True,True
8.0,13,t13,44,436,83,14,20,0.48446480720414453,False,16.851420360368977,0.46554214370584596,True,False
10.0,14,t14,81,459,27,25,19,0.4629208911965712,False,30.60851689299605,0.8318507066065495,False,False
11.0,15,t15,85,142,83,8,25,0.4909091340437003,True,10.598410630012804,0.9281688195007038,True,False
13.0,16,t16,59,534,60,13,19,0.47690175696938175,True,36.53473153617463,0.5415246331954129,True,False
13.0,17,t17,21,818,64,10,20,0.4377842345351138,True,13.747379286096654,0.2159319210555668,True,False
13.0,18,t18,15,814,78,11,9,0.5054852400391172,True,10.494174650959215,0.1574185351877851,True,False
14.0,19,t19,13,683,59,12,22,0.5124969370126402,True,9.669017888968774,0.1190827871561766,True,False
15.0,20,t20,22,195,96,2,13,0.4642064590155001,True,4.496899570148086,0.21101904512974382,True,True
