Dataset,Method,Precision,Recall,F1-Score,Accuracy,True_Positives,False_Positives,True_Negatives,False_Negatives
pakistan Tuple30K,Trust-Based GNN,0.5,0.5,0.5,0.75,1,1,5,1
pakistan Tuple30K,Statistical Analysis,0.3333333333333333,0.5,0.4,0.625,1,2,4,1
pakistan Tuple30K,Behavioral Pattern,0.3333333333333333,0.5,0.4,0.625,1,2,4,1
pakistan Tuple30K,Hybrid Ensemble,0.5,0.5,0.5,0.75,1,1,5,1
pakistan Tuple30K,Deep Learning,0.5,0.5,0.5,0.75,1,1,5,1
pakistan Tuple30K,Graph Neural Network,0.5,0.5,0.5,0.75,1,1,5,1
pakistan Tuple50K,Trust-Based GNN,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,2,1,7,1
pakistan Tuple50K,Statistical Analysis,0.4,0.6666666666666666,0.5,0.6363636363636364,2,3,5,1
pakistan Tuple50K,Behavioral Pattern,0.4,0.6666666666666666,0.5,0.6363636363636364,2,3,5,1
pakistan Tuple50K,Hybrid Ensemble,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,2,1,7,1
pakistan Tuple50K,Deep Learning,0.5,0.6666666666666666,0.5714285714285715,0.7272727272727273,2,2,6,1
pakistan Tuple50K,Graph Neural Network,0.5,0.6666666666666666,0.5714285714285715,0.7272727272727273,2,2,6,1
pakistan Tuple100K,Trust-Based GNN,0.6,0.75,0.6666666666666665,0.8,3,2,9,1
pakistan Tuple100K,Statistical Analysis,0.4,0.5,0.4444444444444445,0.6666666666666666,2,3,8,2
pakistan Tuple100K,Behavioral Pattern,0.4,0.5,0.4444444444444445,0.6666666666666666,2,3,8,2
pakistan Tuple100K,Hybrid Ensemble,0.75,0.75,0.75,0.8666666666666667,3,1,10,1
pakistan Tuple100K,Deep Learning,0.6,0.75,0.6666666666666665,0.8,3,2,9,1
pakistan Tuple100K,Graph Neural Network,0.6,0.75,0.6666666666666665,0.8,3,2,9,1
topo4mec 25N50E,Trust-Based GNN,0.75,0.8571428571428571,0.7999999999999999,0.88,6,2,16,1
topo4mec 25N50E,Statistical Analysis,0.5,0.7142857142857143,0.588235294117647,0.72,5,5,13,2
topo4mec 25N50E,Behavioral Pattern,0.5,0.7142857142857143,0.588235294117647,0.72,5,5,13,2
topo4mec 25N50E,Hybrid Ensemble,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.92,6,1,17,1
topo4mec 25N50E,Deep Learning,0.625,0.7142857142857143,0.6666666666666666,0.8,5,3,15,2
topo4mec 25N50E,Graph Neural Network,0.6666666666666666,0.8571428571428571,0.75,0.84,6,3,15,1
topo4mec 50N50E,Trust-Based GNN,0.7647058823529411,0.8666666666666667,0.8125,0.88,13,4,31,2
topo4mec 50N50E,Statistical Analysis,0.5,0.6666666666666666,0.5714285714285715,0.7,10,10,25,5
topo4mec 50N50E,Behavioral Pattern,0.5,0.6666666666666666,0.5714285714285715,0.7,10,10,25,5
topo4mec 50N50E,Hybrid Ensemble,0.875,0.9333333333333333,0.9032258064516129,0.94,14,2,33,1
topo4mec 50N50E,Deep Learning,0.6666666666666666,0.8,0.7272727272727272,0.82,12,6,29,3
topo4mec 50N50E,Graph Neural Network,0.7058823529411765,0.8,0.7500000000000001,0.84,12,5,30,3
topo4mec 100N150E,Trust-Based GNN,0.7647058823529411,0.8666666666666667,0.8125,0.88,26,8,62,4
topo4mec 100N150E,Statistical Analysis,0.525,0.7,0.6,0.72,21,19,51,9
topo4mec 100N150E,Behavioral Pattern,0.525,0.7,0.6,0.72,21,19,51,9
topo4mec 100N150E,Hybrid Ensemble,0.875,0.9333333333333333,0.9032258064516129,0.94,28,4,66,2
topo4mec 100N150E,Deep Learning,0.6756756756756757,0.8333333333333334,0.746268656716418,0.83,25,12,58,5
topo4mec 100N150E,Graph Neural Network,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.85,25,10,60,5
topo4mec MilanCityCenter,Trust-Based GNN,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8666666666666667,8,3,18,1
topo4mec MilanCityCenter,Statistical Analysis,0.5,0.6666666666666666,0.5714285714285715,0.7,6,6,15,3
topo4mec MilanCityCenter,Behavioral Pattern,0.5,0.6666666666666666,0.5714285714285715,0.7,6,6,15,3
topo4mec MilanCityCenter,Hybrid Ensemble,0.8,0.8888888888888888,0.8421052631578948,0.9,8,2,19,1
topo4mec MilanCityCenter,Deep Learning,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.8,7,4,17,2
topo4mec MilanCityCenter,Graph Neural Network,0.7,0.7777777777777778,0.7368421052631577,0.8333333333333334,7,3,18,2
