timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,270,1000.0,30,1,4,0.7150867488036848,False,244.51792115929467,2.6958892559557928,False,False
0.41,1,t1,80,50.0,89,3,6,0.7400341624545176,True,3.9559203250649646,0.8640848103822685,True,True
1.82,2,t2,220,900.0,56,2,7,0.7363666208665072,False,184.7973153241948,2.4051023263134446,False,False
2.05,3,t3,300,250.0,48,3,5,0.6980487306205804,False,70.6988000640798,2.942741482836852,False,False
2.59,4,t4,80,50.0,44,6,3,0.7404509364414028,True,4.310854753330566,0.8049016391345486,True,True
3.06,5,t5,270,1000.0,20,3,6,0.7408156610236091,True,258.86578501960184,2.5806230553588505,True,True
3.97,6,t6,170,100.0,80,2,6,0.7676484717398104,True,15.876817989907153,1.858375650640601,True,True
4.42,7,t7,80,50.0,21,6,4,0.6704031719122282,True,3.756950450524686,0.8232908838313918,True,False
4.68,8,t8,80,50.0,96,4,2,0.7744462213087702,True,3.5275941412651393,0.7303209526278329,True,False
5.43,9,t9,80,50.0,33,4,2,0.7745394787007766,True,3.936672358493613,0.8203802726909942,True,False
6.21,10,t10,170,100.0,93,4,7,0.7025866802569655,True,14.251117884589085,1.6686903979307353,True,False
6.3,11,t11,120,75.0,57,2,7,0.7308959551158437,True,10.077903592587887,1.1343911346530917,True,False
6.79,12,t12,270,200.0,29,0,1,0.7270141866607681,False,49.11197341006034,2.466806588422164,False,False
7.01,13,t13,300,250.0,50,6,3,0.7412240995307565,True,75.89552633216493,3.118269197029626,True,True
7.25,14,t14,300,250.0,89,3,5,0.6934959378263507,True,87.3723481852053,3.1351522225949147,True,False
7.55,15,t15,220,900.0,43,5,2,0.7517435202337562,False,188.67628653055772,2.1410416268451713,False,False
8.19,17,t17,270,1000.0,69,3,6,0.7415815296213187,True,278.0725368174083,2.679378666320641,True,True
8.19,16,t16,220,700.0,78,6,4,0.6725772902921655,False,158.63209694027086,1.9910612768029416,False,False
8.5,18,t18,220,150.0,46,3,6,0.7423320808470742,True,33.6351147943962,2.3092129835990556,True,True
8.71,19,t19,120,75.0,23,5,2,0.746116831647263,True,9.028074435566836,1.2805786326249136,True,False
9.5,20,t20,80,50.0,60,5,3,0.716310988444467,True,3.6409805086397413,0.8263403946444703,True,True
9.74,21,t21,220,700.0,51,7,1,0.7631620107393191,False,180.98905557516966,2.2865913562289273,False,False
9.84,22,t22,300,1200.0,22,5,3,0.7175669504937594,True,371.05105217271995,3.050772835930598,True,True
9.84,23,t23,300,250.0,91,3,5,0.6952082008880055,True,81.87789508411292,3.0960330075384395,True,False
9.99,24,t24,220,150.0,64,7,1,0.7571554371911994,True,27.6695035366399,2.0771739944058885,True,False
10.13,25,t25,170,100.0,58,3,6,0.7430676210483146,True,15.94477183352722,1.5443776948780754,True,True
10.22,26,t26,120,75.0,33,1,4,0.7101931956457931,True,9.248148815525147,1.125331513882078,True,False
10.3,27,t27,120,75.0,52,3,2,0.7398906544069827,True,10.702334825779179,1.2413427217994324,True,False
10.65,28,t28,300,250.0,78,1,4,0.7115715135510591,False,89.38050193802115,2.7974954082030363,False,False
10.79,29,t29,270,200.0,87,6,3,0.7419817993583232,True,54.92802941988945,2.9286597301636927,True,True
10.96,30,t30,170,100.0,92,4,6,0.7543490495495765,True,16.464917298173944,1.6238248122473102,True,True
11.2,31,t31,270,900.0,80,2,7,0.7317087026801935,False,278.2458370440007,2.6433659712799114,False,False
11.63,32,t32,300,250.0,37,1,7,0.716012801608946,False,77.74848074839238,3.1032593765574314,False,False
12.16,33,t33,80,50.0,43,2,4,0.7399969495617131,True,4.336721996245272,0.7451907672087151,True,False
12.51,34,t34,270,900.0,50,3,6,0.7437884504455301,True,227.5186377979223,2.505942077619346,True,True
12.72,35,t35,300,1200.0,75,2,4,0.7407791923886607,False,334.6772124732937,3.1579044414896726,False,False
12.9,36,t36,220,700.0,66,0,6,0.6956885552311772,True,167.77627851425513,2.16753031414525,True,True
