timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,270,1000.0,30,3,1,0.8393955994442239,False,298.0494779291165,2.553871420493173,False,False
0.41,1,t1,80,50.0,89,5,3,0.7426390831148293,True,3.685881853074738,0.8268125565629639,True,True
1.82,2,t2,220,900.0,56,7,3,0.7216133183653729,True,179.57664805592464,2.063707025277378,True,True
2.05,3,t3,300,250.0,48,2,3,0.7866478141720478,True,68.01461302516455,3.2121933716287168,True,True
2.59,4,t4,80,50.0,44,0,5,0.7139910782167853,True,4.075526064930807,0.7667990624005965,True,True
3.06,5,t5,270,1000.0,20,1,2,0.6871461418539099,False,218.98861701617642,2.8558314908602176,False,False
3.97,6,t6,170,100.0,80,6,4,0.6924514849202353,False,13.880477462906402,1.7593192870457746,True,False
4.42,7,t7,80,50.0,21,5,1,0.7204848996972936,True,3.3098146786860423,0.8682668779220175,True,False
4.68,8,t8,80,50.0,96,3,5,0.7680606683077627,True,3.9645181045472384,0.7779816433679909,True,True
5.43,9,t9,80,50.0,33,5,1,0.7215058683700143,True,4.663629522727223,0.782423788407089,True,False
6.21,10,t10,170,100.0,93,4,1,0.6657253716154389,True,19.201304772368875,1.743618987861349,True,False
6.3,11,t11,120,75.0,57,3,1,0.8320158692735213,True,7.928124151391904,1.1326834860663288,True,False
6.79,12,t12,270,200.0,29,0,5,0.7151419233191163,True,52.946369325226314,2.9388660407680542,True,True
7.01,13,t13,300,250.0,50,0,5,0.7162697515194006,True,78.12092461667967,3.166513330725374,True,True
7.25,14,t14,300,250.0,89,4,1,0.6679930460013119,True,71.8059633161144,2.9273246926400516,True,False
7.55,15,t15,220,900.0,43,7,1,0.7030365563109696,False,233.5430753459865,2.111405967088441,False,False
8.19,17,t17,270,1000.0,69,7,1,0.698232491851417,False,248.11147033322965,2.514408052528473,False,False
8.19,16,t16,220,700.0,78,2,3,0.7864970397067886,True,151.1372093727971,2.030690295058411,True,True
8.5,18,t18,220,150.0,46,5,1,0.7225064176692807,True,26.77095660662446,2.0004699389135645,True,False
8.71,19,t19,120,75.0,23,6,3,0.6887187898294636,True,8.460351698296547,1.3003584361621257,True,True
9.5,20,t20,80,50.0,60,6,2,0.7375379484197602,True,4.161633472794544,0.8556585408900923,True,False
9.74,21,t21,220,700.0,51,5,6,0.7575289540457634,False,174.72189552047863,2.0810642698070625,False,False
9.84,22,t22,300,1200.0,22,3,1,0.8309577337062327,False,367.35760831729755,2.819627903218294,False,False
9.84,23,t23,300,250.0,91,6,2,0.7382178561180316,True,84.14408848364636,2.730893715035694,True,False
9.99,24,t24,220,150.0,64,1,7,0.6689984984258973,True,37.49574125094175,2.105606668075746,True,False
10.13,25,t25,170,100.0,58,2,3,0.7863492807308347,True,18.132734281664643,1.8052217455591133,True,True
10.22,26,t26,120,75.0,33,7,1,0.6935245086810553,True,10.444560215870176,1.1305178789119208,True,False
10.3,27,t27,120,75.0,52,5,1,0.7234869559825617,False,9.174989565367243,1.1295519856510332,True,False
10.65,28,t28,300,250.0,78,1,3,0.7368949348529065,True,74.17590636183215,3.0829197174988154,True,True
10.79,29,t29,270,200.0,87,6,3,0.6905265958510561,True,52.636800622347735,2.7898904829092386,True,True
10.96,30,t30,170,100.0,92,7,1,0.6950846851741008,False,15.440208030166072,1.85361009446388,True,False
11.2,31,t31,270,900.0,80,7,1,0.6904396581372855,False,286.48892065199266,2.813352901895,False,False
11.63,32,t32,300,250.0,37,1,7,0.6710491951240459,False,76.82304333283727,2.706488509321967,False,False
12.16,33,t33,80,50.0,43,2,5,0.6818760344831655,True,3.779941299326931,0.7692371962620235,True,True
