timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,27,865,67,23,25,0.5491632484786751,False,26.937471361047493,0.2622393163306197,True,False
1.0,1,t1,23,568,73,1,14,0.5253248834344928,True,13.645834063175787,0.21897943126244265,True,False
1.0,2,t2,58,630,35,29,13,0.4860914630647169,True,33.63391851231019,0.62533137011748,True,True
2.0,3,t3,35,270,86,0,6,0.5113933632816563,True,8.683924823711775,0.34440831584635445,True,True
3.0,4,t4,33,205,71,8,23,0.46604806250569436,True,7.33811279014667,0.30505022221074973,True,True
4.0,5,t5,82,224,45,7,23,0.4672708973211879,True,18.364802745361224,0.7612297926370944,True,True
4.0,6,t6,17,630,79,12,9,0.5015671350888027,True,11.192545490351629,0.18255478180859971,True,True
5.0,7,t7,59,801,73,18,28,0.4812572301109141,True,53.77174572689204,0.6333368091873739,True,False
6.0,11,t11,37,987,86,26,8,0.5363430309940874,True,31.471075244310907,0.36703550679533026,True,False
6.0,10,t10,83,660,28,20,25,0.496286728044971,False,46.8623983946605,0.8370775267194919,False,False
6.0,9,t9,61,984,58,26,24,0.4953699532759984,False,63.489297739878914,0.5825598499342689,False,False
6.0,8,t8,40,348,54,15,14,0.4959160023151805,True,13.140812627019432,0.4171640467948601,True,False
7.0,12,t12,87,996,67,28,24,0.46736408682658837,False,100.9306947330478,0.9271882805611766,False,False
8.0,13,t13,44,436,83,5,7,0.4438255806710151,True,19.7508295517767,0.45284332511261255,True,True
10.0,14,t14,81,459,27,11,12,0.48864259522101294,False,36.83615293264256,0.8257763887265959,False,False
11.0,15,t15,85,142,83,21,6,0.4973140953094143,True,11.186514501278038,0.8401005429311539,True,True
13.0,16,t16,59,534,60,16,5,0.45842556406075247,True,29.24963870629898,0.5849898821914209,True,True
13.0,17,t17,21,818,64,23,12,0.46856085087885757,True,14.782129149191453,0.22327178625856267,True,False
13.0,18,t18,15,814,78,25,7,0.49170655945832775,True,11.790329105215784,0.15925628485414023,True,True
14.0,19,t19,13,683,59,10,8,0.4807155780227397,True,10.514747024129248,0.13868486595747345,True,False
15.0,20,t20,22,195,96,19,28,0.5172264949811732,True,4.445502787389705,0.22549188327693243,True,False
17.0,21,t21,38,973,65,26,11,0.5118736879976656,True,30.285587496754154,0.3547778984441299,True,False
17.0,22,t22,48,121,76,6,9,0.556498414606646,True,5.3101181684078504,0.4798148124623118,True,True
18.0,23,t23,84,366,32,22,14,0.45779009358814965,False,34.3718957632847,0.8293523977537921,False,False
23.0,24,t24,48,559,65,14,18,0.4932492789007469,False,21.873742889583077,0.4643937735055029,True,False
23.0,25,t25,42,368,55,12,20,0.5027824400674348,False,12.98300660142568,0.4606034341020358,True,False
25.0,26,t26,14,355,31,4,1,0.5464803232381316,True,4.645278523101628,0.13998692233419702,True,True
25.0,27,t27,48,169,100,28,5,0.453618769156577,True,7.529181716950084,0.47386547306387583,True,True
26.0,28,t28,68,481,31,27,18,0.4703669362856822,False,33.114200889098726,0.7207358476144092,False,False
27.0,29,t29,46,324,73,9,23,0.48699347452658764,True,14.918013212642558,0.45351331310887216,True,True
28.0,34,t34,13,890,92,13,9,0.4641292082105255,True,12.147477594517115,0.1401881607877406,True,True
28.0,33,t33,82,535,81,23,19,0.4907073361407781,False,44.86360408874119,0.7566859090936485,True,False
28.0,30,t30,51,472,42,21,6,0.49680114673655934,True,23.817247434595526,0.5341866075561741,True,True
28.0,31,t31,24,657,33,22,20,0.4976266527402817,True,12.76014414240699,0.2514566522604653,True,False
28.0,32,t32,73,780,65,23,25,0.5419601653272834,False,65.91189566785316,0.7021951657313098,False,False
30.0,35,t35,33,839,59,29,14,0.5369824733798332,True,32.031058355298335,0.3032100053079596,True,False
30.0,36,t36,11,986,51,16,5,0.4588936242081088,True,11.691115523599093,0.10235793176478997,True,True
30.0,37,t37,60,914,72,20,25,0.4899896601507382,True,59.86794081471013,0.5669802032668809,True,False
34.0,39,t39,53,988,88,19,10,0.5302365168576834,True,43.69214212937343,0.5821663492810063,True,False
34.0,38,t38,11,106,21,5,7,0.4450952508757766,True,1.0900943130081195,0.10566749153579245,True,True
35.0,40,t40,86,877,76,29,14,0.5355321572455698,False,80.36217511261248,0.9232195002361482,False,False
38.0,42,t42,56,371,67,17,7,0.4691014932950337,True,20.046183387205158,0.5409201949038773,True,True
38.0,41,t41,41,890,100,2,10,0.5175405717076402,True,40.86756472902901,0.40372517667488755,True,False
39.0,43,t43,39,916,65,25,7,0.49145042826916124,True,38.78783095508634,0.39749186834569294,True,True
40.0,44,t44,15,912,35,3,1,0.4425096357837629,True,12.96822971661647,0.13995014195495092,True,True
43.0,45,t45,62,480,47,18,23,0.4744364938232424,True,27.436267882031142,0.5935588385861419,True,True
44.0,46,t46,55,339,25,14,5,0.49039269441366246,True,18.957248778777505,0.6008653241857103,True,True
45.0,47,t47,40,840,70,4,1,0.5454688985915508,True,34.42576598879029,0.39403898595479003,True,True
47.0,48,t48,88,930,56,14,5,0.4903313020638507,True,89.78007128059315,0.9373580905769914,True,True
47.0,49,t49,81,542,69,28,5,0.45386550488455657,True,41.29479395805245,0.7353065484807589,True,True
49.0,50,t50,41,318,27,27,7,0.5481734432443864,True,12.80944241721179,0.3783272246899031,True,True
50.0,51,t51,75,535,48,7,27,0.4752078574011368,True,45.571035194757336,0.824777475719452,True,False
53.0,52,t52,42,470,26,26,24,0.4892427360286603,False,19.552149793977005,0.388026231232209,True,False
53.0,53,t53,36,356,92,12,25,0.49065374795394107,True,10.829518299090653,0.37755031928084015,True,False
53.0,54,t54,34,181,90,27,7,0.546714444967734,True,5.857752450213081,0.3487306792019883,True,True
55.0,55,t55,69,967,90,12,25,0.4903100063281956,True,58.05053403315336,0.724062306491646,True,False
56.0,56,t56,90,110,37,16,23,0.4813741494623811,True,9.92450677962402,0.9676664393892175,True,True
56.0,57,t57,52,255,24,9,8,0.5507640065481946,True,14.7193784220462,0.5078395841267688,True,False
56.0,58,t58,92,157,39,24,18,0.5623574782190166,True,14.818312449207317,0.9397968829862513,True,False
58.0,59,t59,97,450,38,6,3,0.5111693171604688,True,47.62515606160668,0.8961243506670397,True,True
62.0,60,t60,15,986,39,12,9,0.5012379742052084,True,13.873161481864619,0.14564768496150374,True,True
62.0,61,t61,45,1000,50,28,26,0.4946317448075944,True,48.70078884864353,0.46500253078382714,True,False
65.0,63,t63,53,252,53,14,21,0.5504989031338667,True,14.643335313806043,0.5761121275988179,True,False
65.0,62,t62,80,534,80,18,29,0.486307567102158,True,46.4159273051266,0.8435557135477709,True,False
66.0,64,t64,34,258,57,18,28,0.48114865693726727,True,8.29700847525209,0.31661763627050055,True,False
66.0,65,t65,15,588,59,28,26,0.49465729172962447,True,8.01968427671971,0.1450547069243705,True,False
69.0,66,t66,34,680,67,20,11,0.4931277119532472,True,25.11986993141051,0.3304515176231422,True,False
69.0,67,t67,24,811,38,10,28,0.4887443959955606,True,17.501253025363507,0.2504196807078953,True,False
