timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,220,900.0,37,5,4,0.8225957566022064,False,192.25926159805294,2.0602829074815783,False,False
0.2,2,t2,220,900.0,25,6,7,0.8092701950936118,True,179.88252189736681,2.3379518651066427,True,True
0.22,3,t3,220,150.0,24,6,3,0.712883165925915,True,34.256279130985874,2.2341318871098075,True,True
0.56,6,t6,270,200.0,40,10,4,0.7613504733318893,False,60.64228121253997,2.4871733491679553,False,False
0.6,7,t7,270,900.0,20,8,1,0.720904303231201,False,291.4533405226084,2.440106233587836,False,False
0.68,8,t8,270,900.0,57,1,2,0.7986988832403528,False,268.1760238511884,2.4342736928037567,False,False
0.95,10,t10,300,250.0,50,10,6,0.7410035815638719,False,67.19060892769225,3.127724672634841,False,False
1.02,11,t11,120,75.0,31,2,6,0.7407238530730554,True,10.278743109810872,1.105656236987878,True,False
1.15,12,t12,300,250.0,40,7,5,0.7474128169705544,False,72.9878028311659,3.0250812261366153,False,False
1.3,14,t14,170,100.0,79,9,4,0.7784118204910032,True,15.266366878921279,1.6791682243946722,True,False
1.32,15,t15,300,250.0,55,3,2,0.7331503789932985,False,71.54717124304457,2.9029727692710665,False,False
1.48,16,t16,80,50.0,96,4,6,0.7358791374631782,True,4.0808877162495,0.7966155756043977,True,False
1.71,17,t17,80,50.0,88,4,3,0.718027074850277,True,4.0441258159428966,0.7859405856909638,True,True
1.73,18,t18,170,100.0,47,4,3,0.7192487151714532,True,16.11167457466488,1.6353282274316632,True,True
1.76,19,t19,220,150.0,57,9,7,0.753475390714347,True,34.129225269267046,2.1999904000866297,True,True
1.8,20,t20,120,75.0,27,2,4,0.8070440675734954,True,7.789835010588443,1.2796904007109533,True,False
2.0,22,t22,270,900.0,41,5,10,0.6958611974996652,False,229.3796277357752,2.442466650090577,False,False
2.17,23,t23,220,900.0,59,3,1,0.7140005115850263,False,217.1275384025755,2.075389215929111,False,False
2.28,24,t24,170,100.0,33,1,2,0.7921330873937276,False,14.446198436589924,1.8274731743506967,True,False
2.29,25,t25,220,150.0,21,4,3,0.720445922686206,True,31.70092073422311,2.289332437156703,True,True
2.64,26,t26,220,150.0,80,1,2,0.7856986074640349,True,31.36917260143678,2.312565416689944,True,False
2.68,27,t27,170,700.0,24,5,10,0.6912006402163385,False,97.55148112739566,1.5822870108949871,False,False
2.72,28,t28,120,75.0,21,0,8,0.7516546707721912,True,7.226448017388774,1.2542610735785193,True,False
