timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,220,900.0,37,4,3,0.7613765372620884,True,215.56768667302984,2.0300637443116534,True,True
0.08,1,t1,270,200.0,41,0,4,0.728307958265242,False,58.606024524877554,2.5468865371885485,False,False
0.2,2,t2,220,900.0,25,6,7,0.6996494834671246,True,214.81877390655671,2.277195697584449,True,True
0.22,3,t3,220,150.0,24,4,5,0.8125794727330599,False,39.499662232784125,2.248526318610773,False,False
0.48,4,t4,270,1000.0,41,9,10,0.6874028718204103,True,270.25355907656467,2.657888734846641,True,True
0.52,5,t5,300,250.0,59,1,4,0.7325926630338145,False,77.1624726172978,3.060316551321273,False,False
0.56,6,t6,270,200.0,40,1,8,0.7760270666464251,False,59.87828549955228,2.663641038627188,False,False
0.6,7,t7,270,900.0,20,2,3,0.7383689314048193,True,266.6423268932876,2.7886177625014112,True,True
0.68,8,t8,270,900.0,57,9,1,0.6848209644716281,False,274.84913491355303,2.513163557394452,False,False
0.84,9,t9,120,75.0,92,9,4,0.7412662412381477,True,7.262992104521494,1.2274765984712466,True,False
0.95,10,t10,300,250.0,50,8,5,0.7113548596611557,False,85.57456775350565,3.1096947873126695,False,False
1.02,11,t11,120,75.0,31,1,8,0.7696349868519581,True,9.17166367557809,1.2168920969728663,True,False
1.15,12,t12,300,250.0,40,7,2,0.7934920287129615,False,78.91822132202013,3.071022222685825,False,False
1.2,13,t13,170,100.0,86,8,10,0.7358846282674517,True,15.791189965099433,1.7836402950540897,True,True
1.3,14,t14,170,100.0,79,7,2,0.7868788548053689,True,17.454354871865675,1.6081380950619277,True,False
1.32,15,t15,300,250.0,55,3,5,0.7824350636925558,False,70.45011354599632,2.824576369288521,False,False
1.48,16,t16,80,50.0,96,8,10,0.7367491175202844,True,3.9283827963306375,0.755215951049037,True,True
1.71,17,t17,80,50.0,88,0,4,0.7229984657666039,True,4.070738283639581,0.8462259348685404,True,False
1.73,18,t18,170,100.0,47,0,5,0.6993590676491916,True,19.93631169157876,1.5409010082386763,True,False
1.76,19,t19,220,150.0,57,1,7,0.7987009015306746,True,32.69241767459585,2.4041366153924897,True,True
1.8,20,t20,120,75.0,27,3,5,0.7761945442368865,True,8.96105749759165,1.2763947227911177,True,False
1.84,21,t21,120,75.0,96,0,4,0.7239691631179385,False,7.635146070599169,1.1837151029161441,True,False
2.0,22,t22,270,900.0,41,10,9,0.8197900192065287,False,291.37525508821267,2.446814663694675,False,False
2.17,23,t23,220,900.0,59,7,6,0.7437639531007753,False,158.95582630486206,2.391655666758146,False,False
2.28,24,t24,170,100.0,33,10,2,0.7423567180638413,True,19.235409938079627,1.8442002017907593,True,False
2.29,25,t25,220,150.0,21,8,7,0.7019276291469093,True,34.48433342159453,2.374456548437807,True,True
2.64,26,t26,220,150.0,80,8,7,0.7034712583821529,True,32.627552993557124,2.33840594004473,True,True
2.68,27,t27,170,700.0,24,5,2,0.8346819289977959,False,123.8877632977937,1.6332945924579148,False,False
2.72,28,t28,120,75.0,21,7,1,0.7811401351100263,True,9.272680993055292,1.313592448924816,True,False
2.79,29,t29,300,1000.0,81,9,1,0.6802530067206571,False,324.66261142917546,2.8325140604826577,False,False
2.87,30,t30,300,1200.0,65,0,10,0.6806596853535878,True,390.6621811968749,3.077647342362594,True,True
3.0,31,t31,80,50.0,33,7,1,0.7809479990744924,True,3.538629469355685,0.7602050703846118,True,False
3.05,32,t32,80,50.0,25,9,4,0.7418715830800513,True,4.631804545194534,0.8006040758083386,True,False
3.22,33,t33,80,50.0,21,7,9,0.7420189534486076,True,3.595736174056142,0.7733037597501876,True,False
3.3,34,t34,220,150.0,40,0,4,0.7187464465222464,True,28.792067756195376,2.331647209526311,True,False
3.32,35,t35,220,150.0,68,7,9,0.7427607561978173,True,34.41175070673655,2.1931516137113407,True,False
3.37,36,t36,270,900.0,36,9,4,0.7424648180851169,False,266.32395261192903,2.4481317440444337,False,False
3.38,37,t37,80,50.0,47,2,8,0.7686658463304502,True,4.34181853269104,0.8441429584635254,True,False
3.63,38,t38,120,75.0,80,6,7,0.701238675615964,True,8.435968658382572,1.2155060128563162,True,True
3.76,39,t39,300,250.0,77,7,9,0.7434877228920428,False,89.54839128902977,3.2176368100334214,False,False
3.76,40,t40,170,100.0,30,6,9,0.7265794461785581,True,14.812671820272476,1.7097585576736158,True,False
3.76,41,t41,300,250.0,96,3,1,0.778531049145963,True,67.39938076072576,3.0075659338685887,True,False
3.77,42,t42,220,150.0,91,1,8,0.7695447486533806,True,36.44951226115526,2.1585069662259055,True,False
4.02,43,t43,220,150.0,25,7,6,0.7382968558569416,False,27.909012577411417,1.9935813921917884,False,False
4.18,44,t44,120,75.0,59,8,10,0.7375963169880605,True,9.59642865704399,1.1234411813031528,True,True
4.23,45,t45,300,1000.0,71,6,8,0.7343744914539102,False,310.0224972202162,3.230107135624284,False,False
4.41,46,t46,170,700.0,89,5,2,0.8273964722360218,False,126.62212876357975,1.6491131097095668,False,False
4.62,47,t47,300,250.0,80,6,7,0.7027960839218265,True,73.53300003208089,2.7476491437404844,True,True
4.68,48,t48,220,900.0,61,0,4,0.7198021842584682,False,174.49687604853347,2.116060712641956,False,False
4.73,49,t49,170,100.0,28,6,9,0.7276300390731687,True,20.219665946884994,1.5429298361220742,True,False
4.74,50,t50,220,700.0,79,0,5,0.7008025529628745,False,175.8530618286161,2.04922607263705,False,False
4.77,51,t51,300,250.0,61,7,9,0.7380261502523838,False,64.47062738959237,2.9585395045442127,False,False
5.01,52,t52,120,75.0,72,8,7,0.7049840150326917,True,9.22739869034038,1.100345062415335,True,True
5.05,53,t53,220,150.0,96,4,7,0.798689737493539,True,36.039017898743076,2.339838337857359,True,True
5.14,54,t54,120,75.0,81,6,7,0.7043223440615718,True,8.10065326204705,1.0963641493773322,True,True
5.47,55,t55,300,1200.0,34,0,4,0.7146628072399656,False,409.9058080956767,3.282299892951512,False,False
5.53,56,t56,170,100.0,43,10,2,0.7428120452410261,True,17.789240544566407,1.5922520727898086,True,False
5.79,57,t57,270,200.0,73,1,8,0.7694563152187746,True,54.56152861272632,2.759932313262688,True,False
5.84,58,t58,270,200.0,53,4,5,0.8057360650965805,False,59.69901813406486,2.6621032161647338,False,False
5.97,59,t59,170,700.0,63,3,1,0.7785426099812257,False,107.6396624049773,1.7726915794482296,False,False
6.18,60,t60,80,50.0,27,5,7,0.757333615756525,True,4.016498221498788,0.8321457289939487,True,True
6.33,61,t61,270,200.0,72,9,10,0.6892369962021839,True,59.34527199635782,2.756366883798649,True,True
6.33,62,t62,270,900.0,94,4,3,0.7617311883350285,True,265.49139365569397,2.4717269693006627,True,True
6.62,63,t63,300,250.0,97,0,5,0.6960431685702837,True,80.60097703421192,3.156270493380931,True,False
7.2,64,t64,170,500.0,47,8,10,0.7384265724664811,True,89.20018107331306,1.5982982104532282,True,True
