timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,93,417,78,22,2,0.5034110877628274,True,37.42295470346084,0.8389878002898941,True,False
3.0,4,t4,27,231,76,1,17,0.4742635620721019,True,6.553981384982944,0.29375618708354284,True,False
6.0,12,t12,68,700,50,11,25,0.547042663743967,True,46.02652945991574,0.7403114553273153,True,True
14.0,20,t20,56,320,91,19,5,0.49190319225184476,True,18.411304907228637,0.5413880657741067,True,True
17.0,22,t22,82,109,37,16,17,0.4739301631520375,True,7.273419106446455,0.7657479417534542,True,False
17.0,23,t23,99,101,20,10,25,0.5025021450928484,True,9.076058745012528,1.0363117074974504,True,True
23.0,31,t31,73,190,71,14,5,0.44976314440462395,True,12.923017748874793,0.7107631123557863,True,True
28.0,33,t33,29,578,93,17,15,0.5205000361941052,True,15.65443944547276,0.2954484101039384,True,False
28.0,34,t34,27,165,59,15,14,0.5320093625400212,True,3.825471679543986,0.2827467435304607,True,False
29.0,35,t35,55,240,68,20,17,0.4921475471382113,True,13.227778474930235,0.5298557870595497,True,False
31.0,39,t39,94,879,77,10,8,0.4772220081522044,True,71.517442180178,0.9616782230972274,True,False
35.0,42,t42,14,588,47,2,11,0.48466059389796273,True,8.51576660160687,0.14756198087960537,True,True
36.0,44,t44,58,611,63,0,8,0.4754033983963162,True,30.927974244157667,0.6091748517411343,True,False
41.0,48,t48,28,582,41,24,26,0.522079995577982,True,18.38221215302449,0.303824898096775,True,False
46.0,54,t54,28,683,23,17,15,0.519888217288405,True,16.08898418771134,0.30436464670866725,True,False
52.0,57,t57,40,270,73,20,22,0.5109771349791022,True,10.77235076747802,0.403164074358764,True,True
52.0,58,t58,17,357,45,25,13,0.46251748406240084,True,6.832079361611578,0.16936345201513098,True,False
56.0,62,t62,12,570,53,24,26,0.5215565774846042,True,8.180309236354725,0.11633970825442046,True,False
59.0,70,t70,20,538,74,1,4,0.4754941193460219,True,10.949322396982401,0.19375673616157243,True,True
63.0,76,t76,48,956,26,4,12,0.528181717189907,False,40.38134931420737,0.468468912440278,False,False
64.0,77,t77,79,540,79,23,25,0.46299065587971866,True,41.12497255769812,0.7426544959965806,True,True
66.0,79,t79,50,614,44,17,23,0.4888725993151908,True,27.36738542943156,0.493576114780814,True,False
70.0,87,t87,97,496,100,18,24,0.4944578370884716,True,54.317922014851725,0.88575706395215,True,False
70.0,86,t86,13,663,88,11,7,0.5093149075898605,True,8.59086677866158,0.12191085428111245,True,False
71.0,89,t89,59,764,91,7,27,0.4605521870018674,True,47.57466690506115,0.6375979309238011,True,False
73.0,90,t90,85,398,96,18,24,0.4943713470133688,True,32.16123386275596,0.8260648804678474,True,False
83.0,97,t97,94,894,22,11,18,0.5094758287578152,False,97.05940421717666,0.8515479553592669,False,False
88.0,102,t102,96,411,33,20,12,0.48604301184485127,False,44.13515515864492,1.0190987690457247,False,False
89.0,103,t103,85,165,21,6,17,0.4724378780883351,True,13.983958660032354,0.7730283465599267,True,False
